,deliverCoin,deliverPoint,groupId,leftTime,noPassNum,packageCopyId,passNum,passRate,product_id,status,submitDate,task_id
156,1600,0,10395971,0,0,23376300,20,1.0,12714588,6,1556422653000,132566
157,1280,0,10434034,0,2,23367391,18,0.8999999761581421,12714588,6,1556454034000,132555
158,0,0,10433831,0,6,23367361,14,0.699999988079071,12714588,6,1556450795000,132555
159,0,0,10433586,0,4,23367319,16,0.800000011920929,12714588,6,1556450435000,132555
160,0,0,10395978,0,6,23363555,14,0.699999988079071,12714588,6,1556422889000,132555
161,0,0,10435942,0,4,23349626,16,0.800000011920929,12714588,6,1556454308000,132551
162,960,0,10435799,0,3,23349578,17,0.8500000238418579,12714588,6,1556453779000,132551
163,1600,0,10435639,0,1,23349532,19,0.949999988079071,12714588,6,1556453561000,132551
164,0,0,10435505,0,5,23349488,15,0.75,12714588,6,1556453326000,132551
165,960,0,10435348,0,3,23349440,17,0.8500000238418579,12714588,6,1556453132000,132551
166,960,0,10434442,0,3,23349169,17,0.8500000238418579,12714588,6,1556452870000,132551
167,0,0,10434297,0,4,23349142,16,0.800000011920929,12714588,6,1556451451000,132551
168,1280,0,10434176,0,2,23349118,18,0.8999999761581421,12714588,6,1556451222000,132551
169,1280,0,10434043,0,2,23349087,18,0.8999999761581421,12714588,6,1556451031000,132551
170,1600,0,10385619,0,0,23344347,20,1.0,12714588,6,1556417087000,132551
171,1600,0,10385345,0,0,23344271,20,1.0,12714588,6,1556416791000,132551
172,1600,0,10384949,0,1,23344194,19,0.949999988079071,12714588,6,1556416613000,132551
173,1600,0,10384618,0,0,23344124,20,1.0,12714588,6,1556416344000,132551
174,1600,0,10384356,0,0,23344051,20,1.0,12714588,6,1556416121000,132551
175,1600,0,10382836,0,0,23343765,20,1.0,12714588,6,1556415895000,132551
176,1600,0,10356171,0,1,23327127,19,0.949999988079071,12714588,6,1556355868000,132537
177,0,0,10364300,0,4,23303902,16,0.800000011920929,12714588,6,1556358205000,132527
178,960,0,10363934,0,3,23303882,17,0.8500000238418579,12714588,6,1556357830000,132527
179,1600,0,10363519,0,1,23303842,19,0.949999988079071,12714588,6,1556357568000,132527
180,1600,0,10363106,0,1,23303800,19,0.949999988079071,12714588,6,1556357355000,132527
181,1280,0,10362806,0,2,23303768,18,0.8999999761581421,12714588,6,1556357124000,132527
182,1280,0,10362292,0,2,23303730,18,0.8999999761581421,12714588,6,1556356960000,132527
183,0,0,10361884,0,4,23303706,16,0.800000011920929,12714588,6,1556356684000,132527
184,1600,0,10361608,0,0,23303688,20,1.0,12714588,6,1556356443000,132527
185,960,0,10361297,0,3,23303666,17,0.8500000238418579,12714588,6,1556356277000,132527
186,1600,0,10358322,0,1,23303440,19,0.949999988079071,12714588,6,1556356099000,132527
187,0,0,10356327,0,7,23303217,13,0.6499999761581421,12714588,6,1556354308000,132527
188,1600,0,10316552,0,0,23294549,20,1.0,12714588,6,1556328289000,132525
189,960,0,10315970,0,3,23294511,17,0.8500000238418579,12714588,6,1556327773000,132525
190,1280,0,10286518,0,2,23130101,18,0.8999999761581421,12714588,6,1556265077000,132403
191,0,0,10285982,0,6,23130052,14,0.699999988079071,12714588,6,1556264843000,132403
192,0,0,10277701,0,0,23124533,0,0.0,12714588,2,1556264262000,132398
